Sample,Depth,yr_rest,Site,Treatment,Crucible ,Volume_before,Volume_After,Crucible_weight,weight_before ,weight_after
MGr1A,0_10,NAT,Migneint,NAT,1,920,935,0.604,11.861,1.3242
MGr1B,0_10,NAT,Migneint,NAT,2,920,925,0.617,5.601,1.0261
MGr1C,0_10,NAT,Migneint,NAT,3,920,930,0.5,9.751,1.531
MGr2D,0_10,REST,Migneint,REST,4,920,930,0.522,11.536,1.5683
MGr2E,0_10,REST,Migneint,REST,5,920,930,0.497,10.333,1.577
MGr2F,0_10,REST,Migneint,REST,6,920,930,0.521,10.211,1.6773
MGr3G,0_10,DAM,Migneint,DAM,7,920,930,0.521,10.847,1.6781
MGr3H,0_10,DAM,Migneint,DAM,8,920,930,0.524,10.502,1.5276
MGr3I,0_10,DAM,Migneint,DAM,9,920,930,0.522,9.852,1.58
CRr1A,0_10,NAT,Crocach,NAT,1,900,910,0.492,10.271,1.7464
CRr1B,0_10,NAT,Crocach,NAT,2,900,910,0.521,9.584,1.5142
CRr1C,0_10,NAT,Crocach,NAT,3,900,911,0.496,10.441,1.4665
CRr2D,0_10,REST,Crocach,REST,4,900,910,0.528,9.879,2.0166
CRr2E,0_10,REST,Crocach,REST,5,901,913,0.496,10.682,1.9501
CRr2F,0_10,REST,Crocach,REST,6,901,912,0.522,9.974,1.9361
CRr3G,0_10,DAM,Crocach,DAM,7,901,911,0.522,11.715,1.7188
CRr3H,0_10,DAM,Crocach,DAM,8,900,910,0.522,10.884,1.5651
CRr3I,0_10,DAM,Crocach,DAM,9,900,909,0.523,11.504,1.639
SEr2D,0_10,REST,Stean,REST,10,900,910,0.523,12.363,1.4083
SEr2E,0_10,REST,Stean,REST,11,900,908,0.522,11.516,1.4356
SEr2F,0_10,REST,Stean,REST,12,895,905,0.522,10.79,1.5959
SEr3G,0_10,DAM,Stean,DAM,13,895,905,0.518,12.177,1.996
SEr3H,0_10,DAM,Stean,DAM,14,892,901,0.522,10.637,1.5195
SEr3I,0_10,DAM,Stean,DAM,15,890,899,0.522,10.722,1.8364
MHr1A,0_10,NAT,Moors_House,NAT,1,900,910,0.492,11.082,1.575
MHr1B,0_10,NAT,Moors_House,NAT,2,900,910,0.523,9.639,1.1934
MHr1C,0_10,NAT,Moors_House,NAT,3,900,910,0.5,10.663,1.2422
MHr2D,0_10,REST,Moors_House,REST,4,900,909,0.527,10.885,1.7702
MHr2E,0_10,REST,Moors_House,REST,5,900,910,0.499,10.42,1.7404
MHr2F,0_10,REST,Moors_House,REST,6,900,910,0.523,11.08,1.536
MHr3G,0_10,DAM,Moors_House,DAM,7,900,910,0.526,10.262,1.4469
MHr3H,0_10,DAM,Moors_House,DAM,8,900,909,0.527,10.671,1.5103
MHr3I,0_10,DAM,Moors_House,DAM,9,900,910,0.525,10.24,1.6065
LABRr1A,0_10,NAT,Langwell,NAT,10,900,910,0.527,10.428,1.5291
LABRr1B,0_10,NAT,Langwell,NAT,11,899,910,0.525,10.324,1.2666
LABRr1C,0_10,NAT,Langwell,NAT,12,899,908,0.527,9.781,1.4765
LASYr2D,0_10,2,Langwell,REST,13,899,909,0.522,10.72,1.7132
LASYr2E,0_10,2,Langwell,REST,14,899,909,0.524,10.38,1.665
LASYr2F,0_10,2,Langwell,REST,15,899,909,0.52,12.054,1.7272
LASAr3G,0_10,DAM,Langwell,DAM,16,899,905,0.522,10.652,1.6389
LASAr3H,0_10,DAM,Langwell,DAM,17,897,900,0.522,5.291,1.0552
LASAr3I,0_10,DAM,Langwell,DAM,18,897,902,0.525,11.397,1.7071
BOr1A,0_10,NAT,Bowness,NAT,1,915,925,0.495,10.511,1.5522
BOr1B,0_10,NAT,Bowness,NAT,2,915,926,0.527,10.326,1.728
BOr1C,0_10,NAT,Bowness,NAT,3,916,929,0.505,10.325,1.9264
BOr2D,0_10,REST,Bowness,REST,4,917,927,0.533,10.328,1.67
BOr2E,0_10,REST,Bowness,REST,5,918,927,0.502,10.328,1.8295
BOr2F,0_10,REST,Bowness,REST,6,918,928,0.535,10.017,1.724
BOr3G,0_10,DAM,Bowness,DAM,7,919,929,0.54,11.164,2.3087
BOr3H,0_10,DAM,Bowness,DAM,8,919,927,0.528,11.092,2.4395
BOr3I,0_10,DAM,Bowness,DAM,9,918,927,0.542,10.316,1.9268
BAr1A,0_10,NAT,Balmoral,NAT,10,900,911,0.525,11.104,1.9815
BAr1B,0_10,NAT,Balmoral,NAT,11,899,910,0.523,11.963,1.944
BAr1C,0_10,NAT,Balmoral,NAT,12,899,909,0.526,11.477,1.5563
BAr2D,0_10,REST,Balmoral,REST,13,898,906,0.526,9.721,1.6756
BAr2E,0_10,REST,Balmoral,REST,14,898,908,0.526,11.58,1.9136
BAr2F,0_10,REST,Balmoral,REST,15,897,904,0.525,10.549,1.9528
BAr3G,0_10,DAM,Balmoral,DAM,16,897,903,0.526,11.192,2.7041
BAr3H,0_10,DAM,Balmoral,DAM,17,897,903,0.527,11.59,2.7518
BAr3I,0_10,DAM,Balmoral,DAM,18,896,900,0.53,11.282,3.1761
LAWAr2D,0_10,3,Langwell,REST,4,900,910,0.532,10.097,1.5758
LAWAr2E,0_10,3,Langwell,REST,5,900,911,0.508,10.498,1.4582
LAWAr2F,0_10,3,Langwell,REST,6,900,910,0.53,8.528,1.495
LASCr2D,0_10,6,Langwell,REST,7,900,908,0.544,8.406,1.2675
LASCr2E,0_10,6,Langwell,REST,8,900,909,0.535,12.189,1.5848
LASCr2F,0_10,6,Langwell,REST,9,899,903,0.534,8.051,1.32
