Sample,Site,Treatment,Growth,MAP,MAT,elevation,Moisture,pH,Moss_cover,O2,TC,TN,C:N,FTIR_axis_1,degradation_index
MGr1A,Migneint,NAT,0.388693596,2181,8,453,93.60220307,3.79,66.18768789,5.394,49.51977158,1.8755337,26.40302948,4.720121283,1.039833529
MGr1B,Migneint,NAT,0.340861209,2181,8,453,91.79173355,3.94,54.35051883,2.6115,50.8479805,2.438352346,20.85341792,3.583427474,1.396351814
MGr1C,Migneint,NAT,0.573751516,2181,8,453,88.85525889,3.92,32.25944056,3.838,43.88880157,2.182231903,20.11188706,8.483559222,0.77649995
MGr2D,Migneint,REST,0.352660634,2181,8,453,90.50027238,3.83,37.12693185,7.686,45.53866577,1.966560602,23.15650264,-4.169773243,0.688060648
MGr2E,Migneint,REST,0.516213362,2181,8,453,89.0199268,3.91,30.49050933,3.2345,48.84854507,1.983733058,24.62455564,-0.101392569,0.919580766
MGr2F,Migneint,REST,0.732378128,2181,8,453,88.06707946,3.85,11.70367942,6.0275,51.8939743,2.31625843,22.40422469,1.613648097,0.364005021
MGr3G,Migneint,DAM,1.445823103,2181,8,453,88.79430564,3.88,3.352599632,5.87,50.16781616,1.766440988,28.40050503,10.55281505,-0.026448296
MGr3H,Migneint,DAM,0.072195638,2181,8,453,89.94187212,3.86,13.99674916,9.2865,47.01844788,1.915001392,24.55269645,-2.431875843,0.202461524
MGr3I,Migneint,DAM,0.266020572,2181,8,453,88.6602358,3.75,5.835393437,6.8585,49.97534561,2.010072231,24.86246257,7.693382505,-0.041149766
CRr1A,Crocach,NAT,1.687757346,1258,7.1,189,87.17251253,3.99,11.78589216,6.276,47.89911652,2.021406412,23.69593578,10.58439639,0.137120448
CRr1B,Crocach,NAT,0.63721974,1258,7.1,189,89.04115635,4.04,18.52483943,5.5245,49.00603867,1.82973969,26.78306589,2.867186457,0.529210487
CRr1C,Crocach,NAT,0.460466823,1258,7.1,189,90.2413273,4.13,31.77187797,5.7825,47.24882889,1.760035038,26.84539107,-5.519548455,0.97464705
CRr2D,Crocach,REST,0.397353234,1258,7.1,189,84.08084697,4.03,20.77805962,4.99,53.1672554,1.358691812,39.13121057,5.026255988,-0.033306484
CRr2E,Crocach,REST,1.142047039,1258,7.1,189,85.72452386,4.02,12.923758,7.184,49.32398224,1.958444476,25.18528498,2.250761746,0.173641711
CRr2F,Crocach,REST,0.699124056,1258,7.1,189,85.03914515,4.1,22.32152871,7.5285,49.88054276,2.169645786,22.99017797,-1.200410972,0.401446952
CRr3G,Crocach,DAM,0.838861329,1258,7.1,189,89.30760297,3.83,11.03348332,5.201,51.33075333,1.505045176,34.10578908,-2.148134848,0.168110443
CRr3H,Crocach,DAM,0.440897025,1258,7.1,189,89.93341054,3.89,17.83469182,8.0785,46.77607346,1.627395868,28.74289801,6.915531219,0.042392608
CRr3I,Crocach,DAM,1.506618033,1258,7.1,189,89.83699117,4.16,4.232274828,7.498,43.69638824,1.711630702,25.52909818,-1.95122786,0.465350015
SEr2D,Stean,REST,0.176500381,1229,8,530,92.52280405,3.86,,8.218,46.44328308,1.121105909,41.42631192,-4.053188756,0.055305662
SEr2E,Stean,REST,1.01480188,1229,8,530,91.69001273,3.96,,11.82,45.62141037,1.006352901,45.33341169,-35.59764502,0.462907656
SEr2F,Stean,REST,0.425731701,1229,8,530,89.54129334,4.02,,8.943,45.01653671,1.245823503,36.13396007,-1.580760963,0.016103806
SEr3G,Stean,DAM,2.146763112,1229,8,530,87.32309804,3.82,,10.76,52.86704254,1.150385976,45.95591709,2.646016176,-0.922147193
SEr3H,Stean,DAM,0.61830575,1229,8,530,90.1384083,3.75,,9.726,49.64233017,0.91109246,54.48659971,-3.723343326,-0.763943486
SEr3I,Stean,DAM,3.842133207,1229,8,530,87.11372549,3.74,,9.927,51.86970901,1.363786459,38.03360025,1.377495253,-0.62771484
MHr1A,Moors_House,NAT,2.058372005,1699,8,517,89.7733711,3.75,20.88818665,10.5,47.97346878,1.337292671,35.87357489,-1.873471251,-0.252022444
MHr1B,Moors_House,NAT,0.302963164,1699,8,517,92.64589732,3.98,19.31355097,7.5605,49.47583771,1.552685142,31.8646945,-5.654668578,0.551376705
MHr1C,Moors_House,NAT,0.155377933,1699,8,517,92.69703828,3.95,31.73240244,8.2995,49.35647964,1.393555522,35.41766285,-8.306038042,0.555763355
