Sample,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Dim.6,Dim.7,Dim.8,Dim.9,Dim.10,Dim.11,Dim.12,Dim.13,Dim.14,Dim.15,Dim.16,Dim.17,Dim.18,Dim.19,Dim.20,Dim.21,Dim.22,Dim.23,Dim.24,Dim.25,Dim.26,Dim.27,Dim.28,Dim.29,Dim.30,Dim.31,Dim.32,Dim.33,Dim.34,Dim.35,Dim.36,Dim.37,Dim.38,Dim.39,Dim.40,Dim.41,Dim.42,Dim.43,Dim.44,Dim.45,Dim.46,Dim.47,Dim.48,Dim.49,Dim.50,Dim.51,Dim.52,Dim.53,Dim.54,Dim.55,Dim.56,Dim.57,Dim.58,Dim.59,Dim.60,Dim.61
BAr1B,-1.956549744,-2.416451837,-1.295007867,-0.417448667,0.317597064,-1.241511927,0.69993247,-0.371919493,0.496101578,-0.098454452,0.039389471,-0.14780526,-0.01841486,0.030968215,-0.079135886,0.111703041,-0.225418493,0.103949808,-0.101250483,0.141505049,-0.042783452,0.026906676,-0.084033091,0.021403446,0.095566611,-0.009378685,-0.021752317,-0.05619571,0.025677553,0.069646077,-0.084904476,-0.049051859,-0.00576461,-0.057185537,-0.030955942,-0.111743724,0.103804516,0.02913086,0.072238756,0.067710305,-0.010045662,-0.032446907,-0.005267703,-0.08373077,-0.01025189,-0.008613633,-0.012638187,0.010312072,0.023558002,0.024354062,0.002834919,0.028845794,0.017937056,0.01281403,0.01445533,0.005874768,0.005216456,-0.022336297,-0.013305071,-0.016496597,-2.30E-15
MHr2F,-4.73521766,-5.030538817,-1.227907722,-0.179929219,0.012523351,-0.031951875,-0.356633871,1.099107386,0.839932518,-0.275202095,-0.336862914,0.182081606,0.14337817,0.198780807,-0.199413216,0.115260812,0.053854902,-0.075851817,0.045633066,-0.020332111,-0.097234188,0.021785352,-0.035678551,0.203577374,-0.095959004,-0.048976834,0.111668503,0.071235115,0.05188381,-0.072361521,-0.066908631,-0.003199647,-0.02023591,0.048843916,0.041958975,-0.079710406,-0.043238759,-0.017375663,0.070018564,-0.033237131,0.018143052,0.089458176,-0.006481032,0.023315579,0.007759098,-0.048973792,0.015053549,-0.004151988,0.005682839,-0.009839553,0.010420133,0.031483676,-0.006757738,-0.014918229,0.019704069,-0.026077306,-0.006342921,-0.016235296,0.016267925,0.002713705,-4.82E-15
MHr3I,-2.752642111,-0.379919872,-0.381540763,0.213858531,0.326177338,-0.614352103,-0.024048654,0.074538488,0.433028903,-0.108927597,-0.169688349,0.19534167,0.199276664,-0.084145364,0.010988675,-0.02546947,0.059875851,-0.042480674,-0.10944556,-0.083321315,-0.053556282,0.161002295,-0.015395359,-0.087215209,-0.038475732,-0.008567403,0.008104951,-0.148135419,-0.108239967,0.0022945,0.056773603,0.014950761,0.048168721,-0.048767735,-0.000796077,0.061233086,-0.008357028,-0.080354255,0.077976457,-0.026703242,0.037825411,-0.050771656,0.012362294,-0.011665861,0.063619272,-0.028950552,0.048913724,0.040092798,-0.012674525,-0.029423074,0.010633095,-0.024538397,0.00897928,0.028662225,0.04136141,-0.025656514,-0.028378508,-0.011372762,-0.006290272,0.005072726,-3.08E-15
BAr3H,1.249803646,-1.653579846,-0.478502487,0.468379204,1.177230137,-1.725357889,0.03680538,0.250065527,-0.224048792,-0.075113969,0.486550592,-0.35440144,-0.40175599,-0.438904029,0.039677671,0.1797672,-0.189907555,0.096742334,0.089900535,-0.016124394,-0.111101212,-0.110586135,-0.029939479,-0.050917543,0.047980422,0.090305627,0.09272584,0.054337326,-0.001499947,-0.055537584,-0.042749275,0.093590439,-0.020923237,0.072492942,-0.004304158,-0.033327722,-0.104952301,-0.046337499,-0.009359459,-0.010069684,-0.025500744,-0.040853553,0.019764388,-0.051876721,-0.013150618,0.028252483,0.016919897,0.014793775,0.004501871,-0.068712367,0.011115125,-0.007703575,0.024207169,-0.000477491,-0.005505721,0.020329648,-0.005905113,0.015952586,0.013476372,-0.002104612,-3.72E-15
BOr3G,-0.65559989,2.590465067,-0.134262107,-1.221413715,0.250513386,1.223487394,-1.359735855,-0.781415546,-0.725683265,-0.181590463,0.043431695,-0.032764954,0.180554847,-0.114603979,0.007209472,-0.096573424,-0.099037727,0.049973375,0.010723005,0.045214926,-0.025865744,-0.027738864,0.09056951,0.016628727,-0.010808203,-0.07743429,-0.011520447,0.027573882,-0.027167491,-0.048538606,-0.021357561,-0.05028811,0.03131786,-0.007213619,0.047360466,0.037134153,-0.013977741,-0.027841793,-0.030907774,0.025168036,-0.023869397,0.020594091,0.008890544,0.003107982,0.004572741,-0.00077738,0.01457998,-0.019579924,-0.009576693,-0.038867357,0.028421048,0.04128312,0.044451778,-0.032962617,0.048080101,0.00860345,0.023722076,-0.008637899,-0.067175757,-0.025139678,-3.20E-15
BAr1A,6.306150898,4.218300822,1.06231592,-0.407201995,0.334246078,-1.073568758,-0.317745237,-0.467611507,-0.73245661,-0.35175243,0.552625018,0.891164971,-0.047986252,-0.336243028,-0.155489575,0.28963409,0.209953463,-0.175773312,-0.120327471,-0.03818185,-0.111445516,0.043952736,-0.047873264,0.038939669,0.007664477,0.079254678,-0.051650524,0.02827244,-0.055622348,-0.046034268,0.01826477,-0.081076143,-0.03263168,0.028453917,-0.042692262,-0.057375954,-0.005992336,-0.01433088,0.00454254,0.024309816,0.007109654,-0.000504597,0.003265076,0.002169739,-0.006530105,0.031123973,0.00986265,-0.024141022,-0.066366444,0.048656068,-0.034088863,0.014402494,0.011520922,-0.025692167,0.009587772,-0.012385607,-0.0251302,0.018548994,-0.007736761,0.0113247,-2.38E-16
SEr2E,-35.59764502,4.034345572,5.235619353,3.699414268,-0.476835696,1.345342264,1.080606401,-1.452319449,1.147339054,-0.318078188,0.110642856,-0.160139822,-0.1640091,-0.338535921,-0.101286053,0.113881273,-0.025423803,-0.076744167,0.062065141,-0.021396686,0.001565253,-0.014445546,0.004462353,0.02554397,0.028604291,-0.007485557,0.029632964,-0.002808944,0.015422221,-0.00154888,-0.004494906,-0.001147976,-0.005331838,0.010422062,-0.007756869,0.006801651,-0.001137152,-0.006857011,-0.00715353,0.001974813,0.004758034,-0.002557225,-0.002696949,-0.003377737,-0.006893496,-0.002410355,-0.003028338,-0.000180991,-0.006717737,0.003404327,0.002543477,0.002080631,-0.005835236,-0.002031127,0.00124025,6.65E-05,-0.00111964,-0.000395693,-0.000389101,-0.001468763,5.99E-15
MHr3G,-1.493834883,-1.190284114,-2.101042591,-1.782023508,-0.420124608,0.844030456,0.234641494,-0.089969825,-0.00031061,0.322334747,-0.372633177,-0.028043473,0.648011863,-0.414604797,0.120570015,0.14320488,-0.036618533,0.083555147,0.095758867,-0.119183551,0.035578893,0.070217507,-0.034550129,0.092956368,0.073156439,-0.039573059,0.029737958,-0.02627812,0.015947506,-0.020455793,0.018159144,-0.017511724,-0.043038401,0.01083798,0.011045639,0.093855707,-0.070862262,-0.005386122,-0.018962572,0.041548798,0.023560554,-0.028454834,0.051346853,-0.007015727,-0.04537999,-0.017387758,0.009404844,-4.02E-05,0.043314787,0.069980753,-0.017499591,-0.010865418,0.037255458,-0.01529784,0.018327121,0.021825475,-0.017826972,-0.00547512,0.034884981,-0.016529015,-2.84E-15
MGr1B,3.583427474,-0.40521282,0.854012199,0.741329657,0.205693854,-1.927430117,-0.987006199,-0.040987679,-0.315086772,-0.223378561,-0.365786576,-0.222580125,-0.176789014,-0.191519018,-0.06658718,0.174675187,0.217123333,-0.112347248,0.060932878,-0.160777822,0.059122472,-0.01176616,0.152929748,0.034443094,-0.052249621,0.00652382,0.041613775,-0.15836735,0.091953502,0.042161822,0.063514701,0.027198142,0.046403288,0.025504108,0.025431671,-0.017810852,0.074085524,-0.03550321,-0.009128646,0.086169169,0.030609471,-0.015047084,-0.010600891,0.028631859,-0.066044904,-0.010772387,-0.008746509,-0.038970939,0.03455282,-0.027003091,0.011514066,-0.00579442,-0.029451236,-0.004824222,0.01469884,-0.001107093,0.01732238,0.012294021,0.002969252,-0.007622961,-2.46E-15
CRr3G,-2.148134848,-0.991104699,-1.371143259,-0.131014845,-1.198720169,-0.819124613,0.875476391,-0.317213976,-0.985973355,0.655876407,-0.615212346,-0.250798961,-0.121785585,-0.50218103,0.126268039,-0.025547443,-0.042013971,-0.243014827,0.031802788,0.188932597,-0.10789837,-0.036279946,-0.028746555,-0.060538939,-0.006997017,0.073157091,-0.025638153,-0.045970347,-0.045944253,-0.027798997,0.060446198,0.033449827,0.072321165,-0.010293751,0.023309304,0.006798972,-0.010079051,-0.007583421,-0.010105742,-0.04885793,-0.051283201,0.042892896,-0.025193052,-0.007665051,0.032185343,-0.023313879,-0.048798705,-0.057715601,-0.002275216,0.031753922,0.042489781,0.035875573,-0.012134333,0.019090613,0.01219577,0.023530184,-0.012849954,-0.008416829,0.017475594,0.000949947,-2.99E-15
