,ID_old,Site_old,Region_old,mean_wt,Site,Treatment
1,BraemoreNN1,Braemore,NN,4.263241,Langwell,NAT
2,BraemoreNN2,Braemore,NN,5.6303,Langwell,NAT
3,FFDAMA,FF,DAM,16.552857,Crocach,DAM
4,FFDAMB,FF,DAM,18.279098,Crocach,DAM
5,FFDAMC,FF,DAM,14.432642,Crocach,DAM
6,FFNND,FF,NN,11.393682,Crocach,NAT
7,FFNNE,FF,NN,12.961491,Crocach,NAT
8,FFNNF,FF,NN,5.217355,Crocach,NAT
9,FFRESG,FF,RES,16.246346,Crocach,REST
10,FFRESH,FF,RES,10.938889,Crocach,REST
11,FFRESI,FF,RES,10.334867,Crocach,REST
12,MHDAM1,MH,DAM,8.754107,Moors_House,DAM
13,MHDAM2,MH,DAM,19.999015,Moors_House,DAM
14,MHNN1,MH,NN,10.971719,Moors_House,NAT
15,MHNN2,MH,NN,13.071242,Moors_House,NAT
16,MHRES1,MH,RES,8.354014,Moors_House,REST
17,MHRES2,MH,RES,10.875964,Moors_House,REST
18,MigDAM1,Mig,DAM,7.022745,Migneint,DAM
19,MigDAM2,Mig,DAM,17.764584,Migneint,DAM
20,MigDAM3,Mig,DAM,8.516441,Migneint,DAM
21,MigNN1,Mig,NN,6.887161,Migneint,NAT
22,MigRES1,Mig,RES,15.11457,Migneint,REST
23,MigRES2,Mig,RES,3.519133,Migneint,REST
24,MorvenDAM1,Morven,DAM,14.020498,Langwell,DAM
25,MorvenDAM2,Morven,DAM,14.175921,Langwell,DAM
26,ScarabenRES1,Scaraben,RES,5.976222,Langwell,REST
27,ScarabenRES2,Scaraben,RES,4.824515,Langwell,REST
