Sample ,Site,Treatment,Depth,ph,cond
MGr1A,Migneint,NAT,0_10,3.79,48.8
MGr1A,Migneint,NAT,40_50,3.92,27.8
MGr1B,Migneint,NAT,0_10,3.94,28.8
MGr1B,Migneint,NAT,40_50,3.89,28.2
MGr1C,Migneint,NAT,0_10,3.92,30.1
MGr1C,Migneint,NAT,40_50,3.84,30.8
MGr2D,Migneint,RES,0_10,3.83,30.4
MGr2D,Migneint,RES,40_50,3.92,28.2
MGr2E,Migneint,RES,0_10,3.91,48.6
MGr2E,Migneint,RES,40_50,3.73,46.5
MGr2F,Migneint,RES,0_10,3.85,37.5
MGr2F,Migneint,RES,40_50,3.73,37.9
MGr3G,Migneint,DAM,0_10,3.88,37.9
MGr3G,Migneint,DAM,40_50,3.69,37.4
MGr3H,Migneint,DAM,0_10,3.86,33.1
MGr3H,Migneint,DAM,40_50,3.83,34.1
MGr3I,Migneint,DAM,0_10,3.75,34.8
MGr3I,Migneint,DAM,40_50,3.74,35.5
CRr1A,Crocach,NAT,0_10,3.99,46.2
CRr1A,Crocach,NAT,40_50,4.05,32.4
CRr1B,Crocach,NAT,0_10,4.04,30.8
CRr1B,Crocach,NAT,40_50,3.94,24.1
CRr1C,Crocach,NAT,0_10,4.13,25.9
CRr1C,Crocach,NAT,40_50,4.24,18.91
CRr2D,Crocach,RES,0_10,4.03,35.9
CRr2D,Crocach,RES,40_50,4.03,31.3
CRr2E,Crocach,RES,0_10,4.02,41.8
CRr2E,Crocach,RES,40_50,4.04,30.5
CRr2F,Crocach,RES,0_10,4.1,33.5
CRr2F,Crocach,RES,40_50,3.99,33.4
CRr3G,Crocach,DAM,0_10,3.83,43.8
CRr3G,Crocach,DAM,40_50,3.84,37.3
CRr3H,Crocach,DAM,0_10,3.89,58.7
CRr3H,Crocach,DAM,40_50,4.13,35.4
CRr3I,Crocach,DAM,0_10,4.16,45.1
CRr3I,Crocach,DAM,40_50,4.15,38.2
SEr2D,Stean,RES,0_10,3.86,39.7
SEr2D,Stean,RES,40_50,3.74,56
SEr2E,Stean,RES,0_10,3.96,32.2
SEr2E,Stean,RES,40_50,3.85,32.2
SEr2F,Stean,RES,0_10,4.02,27.8
SEr2F,Stean,RES,40_50,3.74,48.1
SEr3G,Stean,DAM,0_10,3.82,54.8
SEr3G,Stean,DAM,40_50,3.84,38.4
SEr3H,Stean,DAM,0_10,3.75,44.5
SEr3H,Stean,DAM,40_50,3.75,42.7
SEr3I,Stean,DAM,0_10,3.74,47
SEr3I,Stean,DAM,40_50,3.83,37.3
LASYr2D,Langwell,RES,0_10,3.78,52.5
LASYr2D,Langwell,RES,40_50,3.85,61.2
LASYr2E,Langwell,RES,0_10,3.94,46.7
LASYr2E,Langwell,RES,40_50,3.73,45.5
LASYr2F,Langwell,RES,0_10,3.85,37.2
LASYr2F,Langwell,RES,40_50,3.79,48.7
LASAr3G,Langwell,DAM,0_10,3.78,55.6
