Sample ,Site,Treatment,Depth,O2
MGr1A,Migneint ,NAT,0_5,3.648
MGr1A,Migneint ,NAT,5_10,7.14
MGr1A,Migneint ,NAT,40_45,5.199
MGr1A,Migneint ,NAT,45_50,3.871
MGr1B,Migneint ,NAT,0_5,2.407
MGr1B,Migneint ,NAT,5_10,2.816
MGr1B,Migneint ,NAT,40_45,2.838
MGr1B,Migneint ,NAT,45_50,3.93
MGr1C,Migneint ,NAT,0_5,5.774
MGr1C,Migneint ,NAT,5_10,1.902
MGr1C,Migneint ,NAT,40_45,5.682
MGr1C,Migneint ,NAT,45_50,5.878
MGr2D,Migneint ,RES,0_5,6.301
MGr2D,Migneint ,RES,5_10,9.071
MGr2D,Migneint ,RES,40_45,1.1563
MGr2D,Migneint ,RES,45_50,2.662
MGr2E,Migneint ,RES,0_5,1.152
MGr2E,Migneint ,RES,5_10,5.317
MGr2E,Migneint ,RES,40_45,0.115
MGr2E,Migneint ,RES,45_50,2.837
MGr2F,Migneint ,RES,0_5,6.931
MGr2F,Migneint ,RES,5_10,5.124
MGr2F,Migneint ,RES,40_45,1.079
MGr2F,Migneint ,RES,45_50,2.705
MGr3G,Migneint ,DAM,0_5,3.177
MGr3G,Migneint ,DAM,5_10,8.563
MGr3G,Migneint ,DAM,40_45,7.404
MGr3G,Migneint ,DAM,45_50,0.8361
MGr3H,Migneint ,DAM,0_5,8.423
MGr3H,Migneint ,DAM,5_10,10.15
MGr3H,Migneint ,DAM,40_45,6.379
MGr3H,Migneint ,DAM,45_50,3.758
MGr3I,Migneint ,DAM,0_5,9.675
MGr3I,Migneint ,DAM,5_10,4.042
MGr3I,Migneint ,DAM,40_45,8.032
MGr3I,Migneint ,DAM,45_50,2.908
CRr1A,Crocach,NAT,0_5,6.846
CRr1A,Crocach,NAT,5_10,5.706
CRr1A,Crocach,NAT,40_45,7.963
CRr1A,Crocach,NAT,45_50,5.209
CRr1B,Crocach,NAT,0_5,5.621
CRr1B,Crocach,NAT,5_10,5.428
CRr1B,Crocach,NAT,40_45,3.028
CRr1B,Crocach,NAT,45_50,3.89
CRr1C,Crocach,NAT,0_5,4.349
CRr1C,Crocach,NAT,5_10,7.216
CRr1C,Crocach,NAT,40_45,6.848
CRr1C,Crocach,NAT,45_50,5.947
CRr2D,Crocach,RES,0_5,7.074
CRr2D,Crocach,RES,5_10,2.906
CRr2D,Crocach,RES,40_45,3.56
CRr2D,Crocach,RES,45_50,3.352
CRr2E,Crocach,RES,0_5,9.086
CRr2E,Crocach,RES,5_10,5.282
CRr2E,Crocach,RES,40_45,1.896
CRr2E,Crocach,RES,45_50,3.822
CRr2F,Crocach,RES,0_5,7.807
CRr2F,Crocach,RES,5_10,7.25
CRr2F,Crocach,RES,40_45,5.551
CRr2F,Crocach,RES,45_50,2.956
CRr3G,Crocach,DAM,0_5,
CRr3G,Crocach,DAM,5_10,5.201
CRr3G,Crocach,DAM,40_45,6.219
CRr3G,Crocach,DAM,45_50,0.139
CRr3H,Crocach,DAM,0_5,7.901
CRr3H,Crocach,DAM,5_10,8.256
CRr3H,Crocach,DAM,40_45,5.442
CRr3H,Crocach,DAM,45_50,4.214
CRr3I,Crocach,DAM,0_5,5.016
CRr3I,Crocach,DAM,5_10,9.98
CRr3I,Crocach,DAM,40_45,6.116
CRr3I,Crocach,DAM,45_50,5.816
SEr2D,Stean,RES,0_5,
SEr2D,Stean,RES,5_10,8.218
SEr2D,Stean,RES,40_45,10.7
SEr2D,Stean,RES,45_50,6.65
SEr2E,Stean,RES,0_5,
SEr2E,Stean,RES,5_10,11.82
SEr2E,Stean,RES,40_45,5.498
SEr2E,Stean,RES,45_50,7.352
SEr2F,Stean,RES,0_5,8.573
SEr2F,Stean,RES,5_10,9.313
SEr2F,Stean,RES,40_45,8.389
SEr2F,Stean,RES,45_50,9.147
SEr3G,Stean,DAM,0_5,
SEr3G,Stean,DAM,5_10,10.76
SEr3G,Stean,DAM,40_45,6.627
SEr3G,Stean,DAM,45_50,2.158
SEr3H,Stean,DAM,0_5,10.99
SEr3H,Stean,DAM,5_10,8.462
SEr3H,Stean,DAM,40_45,10.46
SEr3H,Stean,DAM,45_50,7.083
SEr3I,Stean,DAM,0_5,10.23
SEr3I,Stean,DAM,5_10,9.624
SEr3I,Stean,DAM,40_45,9.102
SEr3I,Stean,DAM,45_50,2.15
LASYr2D,Langwell,RES,0_5,
LASYr2D,Langwell,RES,5_10,9.157
LASYr2D,Langwell,RES,40_45,
LASYr2D,Langwell,RES,45_50,7.367
LASYr2E,Langwell,RES,0_5,6.559
LASYr2E,Langwell,RES,5_10,6.633
LASYr2E,Langwell,RES,40_45,5.808
LASYr2E,Langwell,RES,45_50,7.812
LASYr2F,Langwell,RES,0_5,
LASYr2F,Langwell,RES,5_10,8.017
LASYr2F,Langwell,RES,40_45,8.83
LASYr2F,Langwell,RES,45_50,8.847
LASAr3G,Langwell,DAM,0_5,8.556
LASAr3G,Langwell,DAM,5_10,8.534
LASAr3G,Langwell,DAM,40_45,5.586
LASAr3G,Langwell,DAM,45_50,7.174
LASAr3H,Langwell,DAM,0_5,8.938
LASAr3H,Langwell,DAM,5_10,
LASAr3H,Langwell,DAM,40_45,4.565
LASAr3H,Langwell,DAM,45_50,6.701
LASAr3I,Langwell,DAM,0_5,
LASAr3I,Langwell,DAM,5_10,9.724
LASAr3I,Langwell,DAM,40_45,8.27
LASAr3I,Langwell,DAM,45_50,7.71
LABRr1A,Langwell,NAT,0_5,7.086
LABRr1A,Langwell,NAT,5_10,5.331
LABRr1A,Langwell,NAT,40_45,6.23
LABRr1A,Langwell,NAT,45_50,6.187
LABRr1B,Langwell,NAT,0_5,
LABRr1B,Langwell,NAT,5_10,10.05
